%time,CO2air,co2_dos
43922.28472,910,0.0013
43922.28819,891,0.0026
43922.29167,943,0.004
43922.29514,948,0.0034
43922.29861,938,0.0028
43922.30208,934,0.0023
43922.30556,901,0.0022
43922.30903,900,0.0022
43922.3125,949,0.0022
43922.31597,955,0.0017
43922.31944,932,0.0012
43922.32292,912,0.0007
43922.32639,884,0.0013
43922.32986,930,0.0018
43922.33333,953,0.0023
43922.33681,930,0.0018
43922.34028,904,0.0013
43922.34375,907,0.0007
43922.34722,885,0.0019
43922.35069,943,0.0031
43922.35417,943,0.0042
43922.35764,960,0.0033
43922.36111,920,0.0025
43922.36458,901,0.0016
43922.36806,905,0.0024
43922.37153,908,0.0032
43922.375,949,0.004
43922.37847,967,0.0042
43922.38194,953,0.0044
43922.38542,947,0.0046
43922.38889,933,0.0045
43922.39236,899,0.0044
43922.39583,942,0.0043
43922.39931,933,0.0041
43922.40278,891,0.0038
43922.40625,874,0.0036
43922.40972,902,0.004
43922.41319,922,0.0044
43922.41667,900,0.0048
43922.42014,856,0.005
43922.42361,858,0.0053
43922.42708,895,0.0055
43922.43056,909,0.005
43922.43403,886,0.0045
43922.4375,824,0.004
43922.44097,845,0.0047
43922.44444,880,0.0054
43922.44792,844,0.0062
43922.45139,890,0.0058
43922.45486,893,0.0055
43922.45833,864,0.0052
43922.46181,833,0.0058
43922.46528,879,0.0065
43922.46875,916,0.0071
43922.47222,903,0.0057
43922.47569,868,0.0043
43922.47917,818,0.0029
43922.48264,796,0.0033
43922.48611,821,0.0037
43922.48958,790,0.0041
43922.49306,757,0.0047
43922.49653,787,0.0052
43922.5,797,0.0058
43922.50347,788,0.0056
43922.50694,799,0.0055
43922.51042,829,0.0053
43922.51389,716,0.004
43922.51736,652,0.0027
43922.52083,704,0.0014
43922.52431,683,0.0034
43922.52778,691,0.0054
43922.53125,721,0.0074
43922.53472,750,0.0071
43922.53819,748,0.0069
43922.54167,765,0.0066
43922.54514,742,0.0056
43922.54861,770,0.0045
43922.55208,738,0.0034
43922.55556,653,0.0038
43922.55903,716,0.0042
43922.5625,741,0.0047
43922.56597,718,0.0049
43922.56944,700,0.0051
43922.57292,715,0.0054
43922.57639,829,0.0068
43922.57986,858,0.0082
43922.58333,853,0.0096
43922.58681,880,0.0089
43922.59028,927,0.0082
43922.59375,926,0.0076
43922.59722,863,0.0063
43922.60069,866,0.005
43922.60417,880,0.0037
43922.60764,891,0.0047
43922.61111,918,0.0056
43922.61458,951,0.0066
43922.61806,898,0.0051
43922.62153,837,0.0036
43922.625,852,0.0021
43922.62847,874,0.0034
43922.63194,887,0.0048
